#host-protein-ID,NCBI-gene-ID,host-protein
2899,3823,KLRC3|NKG2-E
2900,3824,KLRD1|CD94
2901,3827,KNG1|KNG|BDK|BK
2902,3831,KLC1|KNS2|KNS2A|KLC|hKLC1S|hKLC1N|hKLC1P|hKLC1G|hKLC1R|hKLC1J|hKLC1B
2903,3832,KIF11|KNSL1|Eg5|HKSP|TRIP5
2904,3833,KIFC1|KNSL2|HSET
2905,3835,KIF22|KNSL4|Kid|OBP-1|OBP-2
2906,3836,KPNA1|SRP1|RCH2|NPI-1|IPOA5
2907,3837,KPNB1|NTF97|IPOB|MGC2155|MGC2156|MGC2157|IMB1|Impnb|IPO1
2908,3838,KPNA2|RCH1|SRP1alpha|IPOA1|QIP2
2909,3839,KPNA3|SRP1gamma|SRP4|hSRP1|IPOA4
2910,3840,KPNA4|QIP1|SRP3|IPOA3|MGC12217|MGC26703
2911,3841,KPNA5|SRP6|IPOA6
2912,3842,TNPO1|KPNB2|MIP|TRN|IPO2|MIP1
2913,3843,IPO5|KPNB3|RANBP5|IMB3|MGC2068|Pse1
2914,3844,KRASP1|KRAS1P
2915,3845,KRAS|KRAS2|KRAS1
2916,3846,KRTAP5-9|KRN1|KRTAP5.9|KRTAP5-1
2917,3848,KRT1|EHK1|KRT1A
2918,3849,KRT2|KRT2A|KRTE
2919,3850,KRT3|CK3|K3
2920,3851,KRT4|CYK4|CK4|K4
2921,3852,KRT5|EBS2|KRT5A
2922,3853,KRT6A|KRT6C|KRT6D|CK6C|K6C|CK6D|K6D
2923,3854,KRT6B|KRTL1
2924,3855,KRT7|K7|CK7|K2C7|SCL
2925,3856,KRT8|CARD2|K8|CK8|CYK8|K2C8|KO
2926,3857,KRT9|EPPK|K9|CK-9
2927,3858,KRT10|KPP|K10|CK10
2928,3859,KRT12|K12
2929,3860,KRT13|K13|CK13|MGC3781|MGC161462
2930,3861,KRT14|EBS3|EBS4
2931,3866,KRT15|K15|CK15|K1CO
2932,3868,KRT16|NEPPK
2933,3872,KRT17|PCHC1
2934,3875,KRT18
2935,3876,KRT18P11|KRT18L1
2936,3879,KRT18P1|dJ25J6.3
2937,3880,KRT19|K19|CK19|K1CS|MGC15366
2938,3881,KRT31|KRTHA1|Ha-1
2939,3882,KRT32|KRTHA2|Ha-2
2940,3883,KRT33A|KRTHA3A|Ha-3I|Krt1-3
2941,3884,KRT33B|KRTHA3B|Ha-3II
2942,3885,KRT34|KRTHA4|Ha-4
2943,3886,KRT35|KRTHA5|Ha-5
2944,3887,KRT81|KRTHB1|Hb-1
2945,3888,KRT82|KRTHB2|Hb-2
2946,3889,KRT83|KRTHB3|Hb-3
2947,3890,KRT84|KRTHB4|Hb-4
2948,3891,KRT85|KRTHB5|Hb-5
2949,3892,KRT86|KRTHB6|MNX|Hb6
2950,3897,L1CAM|HSAS1|SPG1|HSAS|MASA|MIC5|S10|CD171
2951,3898,LAD1
2952,3899,AFF3|LAF4|MLLT2-like
2953,3902,LAG3|CD223
2954,3903,LAIR1|CD305
2955,3904,LAIR2|CD306
2956,3906,LALBA|LYZL7
2957,3908,LAMA2|LAMM
2958,3909,LAMA3|LAMNA|nicein-150kDa|kalinin-165kDa|BM600-150kDa|epiligrin
2959,3910,LAMA4|LAMA3
2960,3911,LAMA5
2961,3912,LAMB1|CLM
2962,3913,LAMB2|LAMS|NPHS5
2963,3914,LAMB3|LAMNB1|nicein-125kDa|kalinin-140kDa|BM600-125kDa
2964,3915,LAMC1|LAMB2
2965,3916,LAMP1|CD107a
2966,3918,LAMC2|EBR2|LAMB2T|LAMNB2|EBR2A|nicein-100kDa|kalinin-105kDa|BM600-100kDa
2967,3920,LAMP2|CD107b
2968,3921,RPSA|LAMR1|LRP|37LRP|p40|SA
2969,3923,RPSAP13|LAMRL3|LAMR1P13|LAMRP3
2970,3924,RPSAP14|LAMRL4|LAMR1P14|LAMRP4
2971,3925,STMN1|LAP18|C1orf215|SMN|OP18|PR22|PP19|PP17|Lag|FLJ32206
2972,3927,LASP1|MLN50|Lasp-1
2973,3929,LBP|BPIFD2
2974,3930,LBR|DHCR14B|TDRD18
2975,3931,LCAT
2976,3932,LCK
2977,3933,LCN1|VEGP|TP|PMFA|MGC71975|TLC
2978,3934,LCN2|NGAL|24p3
2979,3936,LCP1|PLS2|CP64|L-PLASTIN|LC64P
2980,3937,LCP2|SLP76|SLP-76
2981,3938,LCT
2982,3939,LDHA
2983,3940,LDHAP1|LDHAL1
2984,3945,LDHB
2985,3947,LDHBP2|LDHBP|LDHBL2
2986,3948,LDHC|CT32
2987,3949,LDLR|LDLCQ2
2988,3950,LECT2|chm-II|chm2
2989,3952,LEP|OBS|OB
2990,3953,LEPR|OBR|CD295
2991,3954,LETM1|SLC55A1
2992,3955,LFNG|SCDO3
2993,3956,LGALS1|GBP
2994,3957,LGALS2|HL14
2995,3958,LGALS3|LGALS2|MAC-2|GALIG
2996,3959,LGALS3BP|MAC-2-BP|90K|BTBD17B|TANGO10B|M2BP|gp90|CyCAP
2997,3960,LGALS4|GAL4
2998,3963,LGALS7|GAL7|PIG1|TP53I1|LGALS7A
2999,3964,LGALS8|PCTA-1
3000,3965,LGALS9|LGALS9A
3001,3972,LHB|LSH-B|CGB4|hLHB
3002,3973,LHCGR|HHG|LHR|LCGR|LGR2|ULG5
3003,3975,LHX1|LIM-1|LIM1
3004,3976,LIF|CDF|DIA|HILDA
3005,3977,LIFR|CD118
3006,3978,LIG1
3007,3980,LIG3|LIG2|LIG3alpha
3008,3981,LIG4
3009,3982,LIM2|MP19|MP17
3010,3983,ABLIM1|LIMAB1|ABLIM|abLIM|limatin
3011,3984,LIMK1|LIMK
3012,3985,LIMK2
3013,3987,LIMS1|PINCH|PINCH1
3014,3988,LIPA|LAL|CESD
3015,3989,LIPB
3016,3990,LIPC|HL|HTGL
3017,3991,LIPE|HSL
3018,3992,FADS1|LLCDL1|D5D|FADSD5|TU12|FADS6
3019,3993,LLGL2|HGL|Hugl-2
3020,3995,FADS3|LLCDL3|CYB5RP
3021,3996,LLGL1|DLG4|LLGL|HUGL|HUGL-1|Lgl1|Mgl1
3022,3998,LMAN1|F5F8D|MR60|ERGIC-53|ERGIC53|gp58|MCFD1|FMFD1
3023,4000,LMNA|LMN1|CMD1A|LGMD1B|PRO1|LMNL1|HGPS|MADA
3024,4001,LMNB1
3025,4004,LMO1|RBTN1|TTG1|RHOM1
3026,4005,LMO2|RBTNL1|TTG2|RHOM2|RBTN2
3027,4007,PRICKLE3|LMO6
3028,4008,LMO7|FBXO20|FBX20|KIAA0858
3029,4009,LMX1A|LMX1|LMX1.1
3030,4010,LMX1B|NPS1
3031,4012,LNPEP|CAP|PLAP|P-LAP|IRAP
3032,4013,VWA5A|LOH11CR2A|BCSC-1
3033,4014,LORICRIN|LOR
3034,4015,LOX
3035,4016,LOXL1|LOXL|LOL
3036,4017,LOXL2|WS9-14|LOR
3037,4018,LPA|LP|Lp(a)
3038,4019,LPAL1
3039,4023,LPL|LIPD
3040,4025,LPO|SPO
3041,4026,LPP
3042,4033,IRAG2|LRMP|JAW1
3043,4034,LRCH4|LRN|LRRN1
3044,4035,LRP1|APR|A2MR|IGFBP3R1|IGFBP-3R|LRP|CD91|LRP1A|APOER
3045,4036,LRP2|gp330|DBS
3046,4037,LRP3|LRP-3|hLRp105
3047,4038,LRP4|MEGF7|CLSS|LRP-4|SOST2
3048,4040,LRP6|ADCAD2
3049,4041,LRP5|LRP7|OPPG|EVR1|LR3|BMND1|HBM|OPS|OPTA1|VBCH2|EVR4
3050,4043,LRPAP1|A2MRAP|RAP|HBP44
3051,4045,LSAMP|LAMP|IGLON3
3052,4046,LSP1|WP34
3053,4047,LSS|OSC
3054,4048,LTA4H
3055,4049,LTA|TNFB|TNFSF1|LT
3056,4050,LTB|TNFC|p33|TNFSF3
3057,4051,CYP4F3|LTB4H|CYP4F
3058,4052,LTBP1
3059,4053,LTBP2|LTBP3|C14orf141
3060,4054,LTBP3|LTBP2
3061,4055,LTBR|D12S370|TNFCR|TNFR-RP|TNFR2-RP|TNF-R-III|TNFRSF3
3062,4056,LTC4S|MGC33147
3063,4057,LTF|HLF2
3064,4058,LTK|TYK1
3065,4059,BCAM|LU|CD239
3066,4060,LUM|LDC|SLRR2D
3067,4061,LY6E|TSA-1|RIG-E|SCA-2
3068,4062,LY6H|NMLY6
3069,4063,LY9|CD229|mLY9|SLAMF3|hly9
3070,4064,CD180|LY64|RP105|Ly78
3071,4065,LY75|DEC-205|CLEC13B|CD205
3072,4066,LYL1|bHLHa18
3073,4067,LYN|JTK8
3074,4068,SH2D1A|IMD5|LYP|XLP|MTCP1|DSHP|XLPD|EBVS|SAP
3075,4069,LYZ
3076,4070,TACSTD2|M1S1|TROP2|GA733-1|EGP-1
3077,4071,TM4SF1|M3S1|L6
3078,4072,EPCAM|M4S1|MIC18|TACSTD1|Ly74|TROP1|GA733-2|EGP34|EGP40|EGP-2|KSA|CD326|Ep-CAM|HEA125|KS1/4|MK-1|MH99|MOC31|323/A3|17-1A|TACST-1|CO-17A|ESA
3079,4074,M6PR|CD-MPR|CD-M6PR
3080,4076,CAPRIN1|M11S1|GPIAP1|caprin-1|RNG105
3081,4077,NBR1|M17S2|CA125|KIAA0049|1A1-3B
3082,4081,MAB21L1|CAGR1
3083,4082,MARCKS|MACS|PKCSL|80K-L
3084,4083,MARCKSP1|MACSL1
3085,4084,MXD1|MAD|MAD1|bHLHc58
3086,4085,MAD2L1|MAD2|HSMAD2
3087,4086,SMAD1|MADH1|MADR1|JV4-1
3088,4087,SMAD2|MADH2|MADR2|JV18-1
3089,4088,SMAD3|MADH3|JV15-2|HsT17436
3090,4089,SMAD4|MADH4|DPC4
3091,4090,SMAD5|MADH5|Dwfc|JV5-1
3092,4091,SMAD6|MADH7|MADH6|HsT17432
3093,4092,SMAD7|MADH8|MADH7
3094,4093,SMAD9|MADH6|MADH9|SMAD8|SMAD8/9
3095,4094,MAF|c-MAF
3096,4097,MAFG|MGC13090|MGC20149
3097,4099,MAG|GMA|SIGLEC4A|SIGLEC-4A|S-MAG
3098,4100,MAGEA1|MAGE1|MGC9326|CT1.1
3099,4101,MAGEA2|MAGE2|MAGEA2A|CT1.2
3100,4102,MAGEA3|MAGE3|HYPD|HIP8|MGC14613|CT1.3
3101,4103,MAGEA4|MAGE4|MAGE4A|MAGE4B|MAGE-41|MAGE-X2|MGC21336|CT1.4
3102,4104,MAGEA5|MAGE5|MGC129526|CT1.5
3103,4105,MAGEA6|MAGE6|CT1.6|MAGE3B|MAGE-3b
3104,4106,MAGEA7P|MAGE7|MAGEA7
3105,4107,MAGEA8|MAGE8|MGC2182|CT1.8
3106,4108,MAGEA9|MAGE9|MGC8421|CT1.9
3107,4109,MAGEA10|MAGE10|MGC10599|CT1.10
3108,4110,MAGEA11|MAGE11|MAGE-11|MAGEA-11|MGC10511|CT1.11
3109,4111,MAGEA12|MAGE12|CT1.12
3110,4112,MAGEB1|MAGEL1|MAGE-Xp|DAM10|MGC9322|CT3.1
3111,4113,MAGEB2|DAM6|MAGE-XP-2|MGC26438|CT3.2
3112,4114,MAGEB3|CT3.5
3113,4115,MAGEB4|MGC33144|CT3.6
3114,4116,MAGOH|MAGOHA|MAGOH1
3115,4117,MAK|dJ417M14.2|RP62
3116,4118,MAL|MVP17|VIP17
3117,4121,MAN1A1
3118,4122,MAN2A2|MANA2X|HsT19662
3119,4123,MAN2C1|MANA1|MANA
3120,4124,MAN2A1|MANA2|GOLIM7
3121,4125,MAN2B1|MANB|LAMAN
3122,4126,MANBA
3123,4128,MAOA
3124,4129,MAOB
3125,4130,MAP1A|MAP1L
3126,4131,MAP1B|MAP5|PPP1R102
3127,4133,MAP2|MAP2A|MAP2B|MAP2C
3128,4134,MAP4
3129,4135,MAP6|KIAA1878|STOP|FLJ41346|MAP6-N
3130,4137,MAPT|DDPAC|MAPTL|MTBT1|tau|PPND|FTDP-17|TAU|MSTD|MTBT2|FLJ31424|MGC138549|PPP1R103
3131,4139,MARK1|MARK|PAR-1C
3132,4140,MARK3|CTAK1|KP78|PAR-1A
3133,4141,MARS1|MARS|MetRS|SPG70|CMT2U
3134,4142,MAS1
3135,4143,MAT1A|MAT|SAMS|MATA1|SAMS1
3136,4144,MAT2A|SAMS2|MATA2|MATII
3137,4145,MATK|HYLTK|CTK|HYL|Lsk|CHK|HHYLTK|DKFZp434N1212|MGC1708|MGC2101
3138,4146,MATN1|CRTM|CMP
3139,4147,MATN2
3140,4148,MATN3|EDM5|HOA
3141,4149,MAX|bHLHd4|bHLHd5|bHLHd6|bHLHd7|bHLHd8
3142,4150,MAZ|ZF87|Pur-1|Zif87|ZNF801
3143,4151,MB|PVALB
3144,4152,MBD1|PCM1|CXXC3
3145,4153,MBL2|MBL|COLEC1
3146,4154,MBNL1|MBNL|KIAA0428|EXP42|EXP40|EXP35|EXP
3147,4155,MBP
3148,4157,MC1R|MSH-R
3149,4159,MC3R|MC3
3150,4160,MC4R
3151,4161,MC5R
3152,4162,MCAM|MUC18|CD146|MelCAM|METCAM|HEMCAM
3153,4163,MCC
3154,4166,CHST6|MCDC1
3155,4168,MCF2|DBL|ARHGEF21
3156,4170,MCL1|BCL2L3|Mcl-1
3157,4171,MCM2|CCNL1|CDCL1|D3S3194|KIAA0030|BM28|cdc19|DFNA70
3158,4172,MCM3
3159,4173,MCM4|CDC21|CDC54|hCdc21|P1-Cdc21|MGC33310
3160,4174,MCM5|CDC46
3161,4175,MCM6|Mis5
3162,4176,MCM7|MCM2|CDC47|PPP1R104
3163,4179,CD46|MIC10|MCP|TRA2.10|MGC26544|TLX
3164,4182,CD46P1|MCPL|CD46P
3165,4184,SMCP|MCSP
3166,4185,ADAM11|MDC
3167,4188,MDFI|I-mfa
3168,4189,DNAJB9|MDG1
3169,4190,MDH1
3170,4191,MDH2
3171,4192,MDK|NEGF2|MK|FLJ27379
3172,4193,MDM2|HDM2|MGC5370
3173,4194,MDM4|MDMX|HDMX
3174,4199,ME1
3175,4200,ME2
3176,4201,MEA1|MEA
3177,4204,MECP2|RTT|MRX16|MRX79
3178,4205,MEF2A|RSRFC4|RSRFC9
3179,4206,MEF2AP1|MEF2AP
3180,4207,BORCS8-MEF2B|MEF2BNB-MEF2B
3181,4208,MEF2C
3182,4209,MEF2D
3183,4210,MEFV|MEF|FMF|TRIM20
3184,4211,MEIS1
3185,4212,MEIS2|MRG1|HsT18361
3186,4213,MEIS3P1|MEIS3|MEIS4|MRG2
3187,4214,MAP3K1|MEKK1|MEKK|MAPKKK1
3188,4215,MAP3K3|MEKK3|MAPKKK3
3189,4216,MAP3K4|MEKK4|MTK1|MAPKKK4|KIAA0213
3190,4217,MAP3K5|MEKK5|MAPKKK5|ASK1
3191,4218,RAB8A|MEL|RAB8
3192,4222,MEOX1|MOX1
3193,4223,MEOX2|GAX|MOX2
3194,4224,MEP1A|PPHA
3195,4225,MEP1B
3196,4232,MEST|PEG1
3197,4234,METTL1|C12orf1|TRM8|TRMT8
3198,4236,MFAP1|AMP
3199,4237,MFAP2|MAGP|MAGP-1
3200,4238,MFAP3
3201,4239,MFAP4
3202,4240,MFGE8|SPAG10|SED1|EDIL1|BA46|OAcGD3S|HsT19888|MFG-E8|hP47
3203,4241,MELTF|MFI2|CD228|FLJ38863|MAP97|MGC4856|MTF1|MTf
3204,4242,MFNG
3205,4245,MGAT1|MGAT|GLYT1|GNT-1|GLCNAC-TI|GnTI
3206,4246,SCGB2A1|MGB2|UGB3|LPHC|MGC71973
3207,4247,MGAT2|GNT-II
3208,4248,MGAT3|GNT-III
3209,4249,MGAT5|GNT-V|MGAT5A
3210,4250,SCGB2A2|MGB1|PSBP1|UGB2|MGC71974
3211,4253,MIA2|CTAGE5|MGEA|MGEA6|FLJ22404|TALI|MEA6|cTAGE-5A|cTAGE-5B|cTAGE-5C|cTAGE-5D|MGEA11
3212,4254,KITLG|MGF|SCF|SF|Kitl|KL-1|FPH2|SLF|DFNA69
3213,4255,MGMT
3214,4256,MGP
3215,4257,MGST1|GST12|MGST-I
3216,4258,MGST2|MGST-II
3217,4259,MGST3|GST-III
3218,4261,CIITA|MHC2TA|C2TA|NLRA
3219,4267,CD99|MIC2
3220,4277,MICB|PERB11.2
3221,4279,MICD|PERB11.4
3222,4280,MICE|dJ377H14.7|PERB11.5
3223,4282,MIF|GLIF|GIF
3224,4283,CXCL9|CMK|MIG|SCYB9|Humig|crg-10
3225,4284,MIP|MP26|LIM1|AQP0
3226,4285,MIPEP|MIP
3227,4286,MITF|WS2A|WS2|MI|bHLHe32
3228,4287,ATXN3|SCA3|MJD|ATX3|JOS
3229,4288,MKI67|MIB-1|PPP1R105
3230,4289,MKLN1|TWA2
3231,4291,MLF1
3232,4292,MLH1|COCA2|HNPCC|FCC2|HNPCC2
3233,4293,MAP3K9|MLK1|PRKE1|MEKK9
3234,4294,MAP3K10|MLK2|MST|MEKK10
3235,4295,MLN
3236,4296,MAP3K11|MLK3|PTK1|SPRK|MEKK11
3237,4297,KMT2A|MLL|TRX1|HRX|ALL-1|HTRX1|CXXC7|MLL1A
3238,4298,MLLT1|ENL|LTG19|YEATS1
3239,4299,AFF1|PBM1|MLLT2|AF-4|AF4
3240,4300,MLLT3|AF-9|AF9|YEATS3
3241,4301,AFDN|MLLT4|AF-6|AF6
3242,4302,MLLT6|AF17|FLJ23480
3243,4303,FOXO4|MLLT7|AFX1
3244,4308,TRPM1|MLSN1|LTRPC1|CSNB1C
3245,4311,MME|CALLA|CD10|NEP
3246,4312,MMP1|CLG
3247,4313,MMP2|CLG4|CLG4A|TBE-1
3248,4314,MMP3|STMY1|STMY
3249,4316,MMP7|MPSL1|PUMP-1
3250,4317,MMP8|CLG1
3251,4318,MMP9|CLG4B
3252,4319,MMP10|STMY2
3253,4320,MMP11|STMY3
3254,4321,MMP12|HME
3255,4322,MMP13|CLG3
3256,4323,MMP14|MT1-MMP
3257,4324,MMP15|MT2-MMP|MTMMP2|SMCP-2
3258,4325,MMP16|C8orf57|MT3-MMP|DKFZp761D112
3259,4326,MMP17|MT4-MMP
3260,4327,MMP19|MMP18|RASI-1
3261,4329,ALDH6A1|MMSDH
3262,4330,MN1|MGCR|MGCR1-PEN|MGCR1
3263,4331,MNAT1|MAT1|RNF66
3264,4332,MNDA|PYHIN3
3265,4335,MNT|ROX|MXD6|MAD6|bHLHd3|lncRNA-HAL
3266,4336,MOBP
3267,4337,MOCS1|MOCOD
3268,4338,MOCS2|MOCO1|MOCS2A|MOCS2B
3269,4340,MOG|BTN6|BTNL11
3270,4342,MOS
3271,4343,MOV10|gb110|MGC2948|fSAP113
3272,4345,CD200|MOX1|MOX2|MRC|OX-2
3273,4350,MPG|MDG
3274,4351,MPI
3275,4352,MPL|CD110|TPOR|THPOR
3276,4353,MPO
3277,4354,MPP1|DXS552E|PEMP
3278,4355,MPP2|DLG2|DKFZp761D0712
3279,4356,MPP3|DLG3
3280,4357,MPST|MST|TST2|TUM1
3281,4358,MPV17|SYM1
3282,4359,MPZ|CMT1|CMT1B|HMSNIB|CMT2I|CMT2J|P0
3283,4360,MRC1|MRC1L1|CLEC13D|CD206|bA541I19.1|CLEC13DL
3284,4361,MRE11|MRE11A|ATLD
3285,4362,MRE11P1|MRE11B
3286,4363,ABCC1|MRP|MRP1|GS-X
3287,4430,MYO1B|myr1
3288,4431,MSBP1
3289,4432,MSBP2
3290,4435,CITED1|MSG1
3291,4436,MSH2|COCA1|HNPCC|HNPCC1
3292,4437,MSH3|DUP|MRP1
3293,4438,MSH4
3294,4439,MSH5|G7
3295,4440,MSI1
3296,4477,MSMB|PSP-94|PSP57|PSP94|IGBF|MSP|MSPB|PN44|PRPS|PSP
3297,4478,MSN
3298,4479,MSNP1|MSNL1
3299,4482,MSRA
3300,4485,MST1|D3F15S2|HGFL|DNF15S2|MSP|NF15S2
3301,4486,MST1R|RON|PTK8|SEA|CDw136|CD136
3302,4487,MSX1|HOX7|HYD1|OFC5
3303,4488,MSX2|PFM1|CRS2|FPP|HOX8|MSH|PFM
3304,4489,MT1A|MT1|MT1S
3305,4490,MT1B|MT1|MT1Q
3306,4493,MT1E|MT1|MTD
3307,4494,MT1F|MT1
3308,4495,MT1G|MT1|MT1K
3309,4496,MT1H|MT1
3310,4498,MT1JP|MT1|MT1NP|MT1J|MTB
3311,4499,MT1M|MT1|MT1K
3312,4500,MT1L|MT1|MTF|MT1R
3313,4501,MT1X|MT1|MT-1l
3314,4502,MT2A|MT2
3315,4503,MT2P1
3316,4504,MT3|GIF
3317,4507,MTAP|MSAP|c86fus
3318,4508,MT-ATP6|MTATP6|RP|ATP6|ATPase-6|Su6m
3319,4509,MT-ATP8|MTATP8|ATP8|A6L
3320,4511,MT-TC|MTTC|trnC
3321,4512,MT-CO1|MTCO1|COX1|COI
3322,4513,MT-CO2|MTCO2|COX2|CO2
3323,4514,MT-CO3|MTCO3|COX3|COIII|CO3
3324,4515,MTCP1|P13MTCP1|p8MTCP1|TCL1C
3325,4519,MT-CYB|MTCYB|COB|CYTB|UQCR3
3326,4520,MTF1
3327,4521,NUDT1|MTH1
3328,4522,MTHFD1|MTHFC|MTHFD
3329,4523,MTHFD1P1|MTHFDL1|MTHFDP1
3330,4524,MTHFR
3331,4528,MTIF2|IF-2mt
3332,4531,MTL3P|MTL3
3333,4534,MTM1
3334,4535,MT-ND1|MTND1|ND1|NAD1
3335,4536,MT-ND2|MTND2|ND2|NAD2
3336,4537,MT-ND3|MTND3|ND3|NAD3
3337,4538,MT-ND4|MTND4|LHON|ND4|NAD4
3338,4539,MT-ND4L|MTND4L|ND4L|NAD4L
3339,4540,MT-ND5|MTND5|ND5|NAD5
3340,4541,MT-ND6|MTND6|NAD6|ND6
3341,4542,MYO1F
3342,4543,MTNR1A|MEL-1A-R
3343,4544,MTNR1B
3344,4547,MTTP|MTP|ABL
3345,4548,MTR|cblG
3346,4549,MT-RNR1|MTRNR1|12S|MOTS-c
3347,4550,MT-RNR2|MTRNR2|HN|16S
3348,4552,MTRR|cblE
3349,4553,MT-TA|MTTA|trnA
3350,4555,MT-TD|MTTD|trnD
3351,4556,MT-TE|MTTE|trnE
3352,4558,MT-TF|MTTF|trnF
3353,4563,MT-TG|MTTG|trnG
3354,4564,MT-TH|MTTH|trnH
3355,4565,MT-TI|MTTI|trnI
3356,4566,MT-TK|MERRF|MTTK|trnK
3357,4567,MT-TL1|MTTL1|TRNL1
3358,4568,MT-TL2|MTTL2|TRNL2
3359,4569,MT-TM|MTTM|trnM
3360,4570,MT-TN|MTTN|trnN
3361,4571,MT-TP|MTTP|trnP
3362,4572,MT-TQ|MTTQ|trnQ
3363,4573,MT-TR|MTTR|trnR
3364,4574,MT-TS1|MTTS1|TRNS1
3365,4575,MT-TS2|MTTS2|TRNS2|RP8
3366,4576,MT-TT|MTTT|LIMM|trnT
3367,4577,MT-TV|MTTV|trnV
3368,4578,MT-TW|MTTW|trnW
3369,4579,MT-TY|MTTY|trnY
3370,4580,MTX1|MTX|MTXN
3371,4581,MTX1P1|MTXP|MTX1P
3372,4582,MUC1|PUM|MCKD1|CD227|PEM|ADMCKD|ADMCKD1|MCKD|MCD
3373,4583,MUC2
3374,4584,MUC3A|MUC3
3375,4585,MUC4
3376,4586,MUC5AC|MUC5
3377,4588,MUC6
3378,4589,MUC7|FLJ27047|MG2
3379,4591,TRIM37|MUL|KIAA0898|POB1|TEF3
3380,4593,MUSK
3381,4594,MMUT|MUT|MCM
3382,4595,MUTYH|MYH
3383,4597,MVD|MPD
3384,4598,MVK|LRBP|MK
3385,4599,MX1|IFI-78K|MxA|lncMX1-215
3386,4600,MX2|MXB
3387,4601,MXI1|MXD2|MAD2|MXI|bHLHc11
3388,4602,MYB|c-myb
3389,4603,MYBL1|AMYB|A-myb
3390,4604,MYBPC1|ssMyBP-C
3391,4605,MYBL2|BMYB|B-MYB
3392,4606,MYBPC2|MYBPCF|MGC163408|fsMyBP-C
3393,4607,MYBPC3|CMH4|FHC|cMyBP-C
3394,4608,MYBPH
3395,4609,MYC|c-Myc|bHLHe39|MYCC
3396,4610,MYCL|MYCL1|LMYC|bHLHe38
3397,4611,MYCLP1|MYCL2|MYCL1P1
3398,4613,MYCN|NMYC|bHLHe37|N-myc|MYCNOT
3399,4615,MYD88
3400,4616,GADD45B|MYD118|GADD45BETA|DKFZP566B133
3401,4617,MYF5|bHLHc2
3402,4618,MYF6|MRF4|bHLHc4
3403,4619,MYH1|MYHSA1|MYHa|MyHC-2X/D|MGC133384
3404,4620,MYH2|IBM3|MYH2A|MYHSA2|MyHC-IIa|MYHas8|MyHC-2A
3405,4621,MYH3|MYHC-EMB|MYHSE1|HEMHC|SMHCE
3406,4622,MYH4|MYH2B|MyHC-2B|MyHC-IIb
3407,4624,MYH6
3408,4625,MYH7|CMH1|MPD1|CMD1S
3409,4626,MYH8|MyHC-peri|MyHC-pn
3410,4627,MYH9|DFNA17|NMMHCA|NMHC-II-A|MHA|FTNS|EPSTS
3411,4628,MYH10|NMMHCB
3412,4629,MYH11|SMMHC|SMHC
3413,4632,MYL1
3414,4633,MYL2|CMH10
3415,4634,MYL3|CMH8|VLC1|MLC1V|MLC1SB
3416,4635,MYL4|ALC1|AMLC|GT1|PRO1957
3417,4636,MYL5
3418,4637,MYL6|ESMLC|MLC3NM|MLC1SM
3419,4638,MYLK|MLCK|smMLCK|MYLK1|MLCK1
3420,4640,MYO1A|MYHL|DFNA48
3421,4641,MYO1C|myr2
3422,4642,MYO1D|KIAA0727|myr4|PPP1R108
3423,4643,MYO1E|MYO1C|HuncM-IC|MGC104638
3424,4644,MYO5A|MYH12|MYO5|GS1|MYR12
3425,4645,MYO5B|KIAA1119
3426,4646,MYO6|DFNA22|DFNB37|KIAA0389
3427,4647,MYO7A|USH1B|DFNB2|DFNA11|NSRD2
3428,4648,MYO7B
3429,4649,MYO9A|FLJ11061|FLJ13244|MGC71859
3430,4650,MYO9B|CELIAC4
3431,4651,MYO10|KIAA0799
3432,4653,MYOC|GLC1A|TIGR|JOAG1
3433,4654,MYOD1|MYF3|PUM|MYOD|bHLHc1
3434,4656,MYOG|MYF4|bHLHc3
3435,4659,PPP1R12A|MYPT1|MBS|M130
3436,4660,PPP1R12B|MYPT2|MGC87886|MGC131980|PP1bp55
3437,4661,MYT1|PLPB1|MTF1|MYTI|ZC2HC4A|NZF2|ZC2H2C1
3438,4664,NAB1
3439,4665,NAB2|MADER
3440,4666,NACA|NACA1
3441,4668,NAGA|D22S674
3442,4669,NAGLU|NAG
3443,4670,HNRNPM|NAGR1|HNRPM|HTGR1|HNRNPM4|HNRPM4|CEAR
3444,4671,NAIP|BIRC1|NLRB1
3445,4673,NAP1L1|NRP|NAP1|NAP1L|MGC8688|MGC23410
3446,4674,NAP1L2|BPX|MGC26243
3447,4675,NAP1L3|MB20|NPL3|MGC26312
3448,4676,NAP1L4|NAP2
3449,4677,NARS1|NARS
3450,4678,NASP|FLB7527|FLJ31599|FLJ35510|MGC19722|MGC20372|MGC2297|DKFZp547F162|PRO1999
3451,4680,CEACAM6|NCA|CD66c
3452,4681,NBL1|D1S1733E|NB|DAN|NO3|DAND1
3453,4682,NUBP1|NBP1|NBP35|CIAO5
3454,4683,NBN|NBS|NBS1|ATV|AT-V2|AT-V1
3455,4684,NCAM1|NCAM|CD56
3456,4685,NCAM2|NCAM21|MGC51008
3457,4686,NCBP1|NCBP|CBP80|Sto1
3458,4688,NCF2|p67phox|NOXA2
3459,4689,NCF4|p40phox|SH3PXD4
3460,4690,NCK1|NCK|NCKalpha
3461,4691,NCL|C23|Nsr1
3462,4692,NDN|HsT16328|PWCR
3463,4693,NDP|EVR2|norrin
3464,4694,NDUFA1|MWFE|CI-MWFE
3465,4695,NDUFA2|B8
