#virus-ID,virus-name,NCBI-virus-protein-ID,virus-protein
10360,Human herpesvirus 5 strain AD169|Human cytomegalovirus (strain AD169)|Human herpesvirus 5 (strain AD169),101451751,NEC2|NEC2_HCMVA
10360,Human herpesvirus 5 strain AD169|Human cytomegalovirus (strain AD169)|Human herpesvirus 5 (strain AD169),3077525,UL84|UL84_HCMVA
10360,Human herpesvirus 5 strain AD169|Human cytomegalovirus (strain AD169)|Human herpesvirus 5 (strain AD169),103456463,VIE2|VIE2_HCMVA
10377,Human herpesvirus 4 strain B95-8|Human herpesvirus 4 (strain B95-8),101221983,GL|GL_EBVB9
10377,Human herpesvirus 4 strain B95-8|Human herpesvirus 4 (strain B95-8),657659,ITP|ITP_EBVB9
10377,Human herpesvirus 4 strain B95-8|Human herpesvirus 4 (strain B95-8),252544,RTA|RTA_EBVB9
10377,Human herpesvirus 4 strain B95-8|Human herpesvirus 4 (strain B95-8),24271468,UL24|UL24_EBVB9
10377,Human herpesvirus 4 strain B95-8|Human herpesvirus 4 (strain B95-8),112288183,LTP|LTP_EBVB9
10377,Human herpesvirus 4 strain B95-8|Human herpesvirus 4 (strain B95-8),110889620,KITH|KITH_EBVB9
10377,Human herpesvirus 4 strain B95-8|Human herpesvirus 4 (strain B95-8),9619380,TRX2|TRX2_EBVB9
10377,Human herpesvirus 4 strain B95-8|Human herpesvirus 4 (strain B95-8),380426,LMP1|LMP1_EBVB9
10377,Human herpesvirus 4 strain B95-8|Human herpesvirus 4 (strain B95-8),105219243,EBNA6|EBNA6_EBVB9
10377,Human herpesvirus 4 strain B95-8|Human herpesvirus 4 (strain B95-8),3783707,BILF1|BILF1_EBVB9
10377,Human herpesvirus 4 strain B95-8|Human herpesvirus 4 (strain B95-8),105220972,EBNA4|EBNA4_EBVB9
10377,Human herpesvirus 4 strain B95-8|Human herpesvirus 4 (strain B95-8),3783694,BDLF3|BDLF3_EBVB9
