#virus-ID,virus-name,NCBI-virus-protein-ID,virus-protein
10376,Human gammaherpesvirus 4|EPV|HHV-4|Epstein-Barr virus EBV|Human herpesvirus 4|Human herpesvirus type 4|Epstein Barr virus,31938,YP|YP_401725
11855,Mason-Pfizer monkey virus|MPMV|Simian Mason-Pfizer type D retrovirus|Simian mason-pfizer virus|simian Mason-Pfizer D-type retrovirus SM-PDT,100141955,GAG|GAG_MPMV
11686,Human immunodeficiency virus type 1 (BRU ISOLATE),836190,REV|REV_HV1BR
11060,Dengue virus 2|Dengue virus type 2|Dengue virus type II|dengue 2 virus DEN-2|dengue-2 virus,35904,NP|NP_739591
11060,Dengue virus 2|Dengue virus type 2|Dengue virus type II|dengue 2 virus DEN-2|dengue-2 virus,35904,NP|NP_739582
11060,Dengue virus 2|Dengue virus type 2|Dengue virus type II|dengue 2 virus DEN-2|dengue-2 virus,35904,NP|NP_739583
11060,Dengue virus 2|Dengue virus type 2|Dengue virus type II|dengue 2 virus DEN-2|dengue-2 virus,35904,NP|NP_739584
11060,Dengue virus 2|Dengue virus type 2|Dengue virus type II|dengue 2 virus DEN-2|dengue-2 virus,35904,NP|NP_739587
11060,Dengue virus 2|Dengue virus type 2|Dengue virus type II|dengue 2 virus DEN-2|dengue-2 virus,35904,NP|NP_739590
11060,Dengue virus 2|Dengue virus type 2|Dengue virus type II|dengue 2 virus DEN-2|dengue-2 virus,35904,NP|NP_739588
